Ahab Aflack
Aflack Alf
Alf Alphabet
Alphabet Apex
Apex Axe
Axe Ace
Ace Animal
Animal Boom
Boom Boomer
Boomer Boss
Boss Backfire
Backfire Badger
Badger Baja
Baja Bambi
Bambi Banjo
Banjo Barracuda
Barracuda Batman
Batman Bear
Bear Big Mac
Big Mac Birdie
Birdie Blaster
Blaster Blaze
Blaze Bones
Bones Brain
Brain Breaker
Breaker Bull
Bull Burbank
Burbank Burner
Burner Buster
Buster Bubba
Bubba Bison
Bison Bullet
Bullet Blink
Blink Bond
Bond Carrot
Carrot Cajun
Cajun Candle
Candle Captain
Captain Casper
Casper Caveman
Caveman Chaos
Chaos Chainsaw
Chainsaw Chief
Chief Chip
Chip Cobalt
Cobalt Colt
Colt Cooler
Cooler Cooper
Cooper Cosmo
Cosmo Crow
Crow Cruise
Cruise Cypher
Cypher Cyrus
Cyrus Charlie
Charlie Chewy
Chewy Cobra
Cobra Duck
Duck Delta
Delta Dallas
Dallas Damien
Damien Data
Data Deadlock
Deadlock Dice
Dice Dino
Dino Doghouse
Doghouse Dragon
Dragon Draggon
Draggon Drone
Drone Dudley
Dudley Eagle
Eagle Eight Ball
Eight Ball Elvis
Elvis Emu
Emu Earl
Earl Erny
Erny Firestarter
Firestarter Fang
Fang Fender
Fender Firefly
Firefly Fish
Fish Flash
Flash Flea
Flea Flint
Flint Forrest
Forrest Freeze
Freeze Fridge
Fridge Farmer
Farmer Finch
Finch Giggles
Giggles G Man
G Man Gadget
Gadget Gameshow
Gameshow Gargoyle
Gargoyle Gator
Gator Ghost
Ghost Goose
Goose Grimm
Grimm Golf
Golf Grey
Grey Hacker
Hacker Hangstart
Hangstart Hawk
Hawk Hercules
Hercules Hipshot
Hipshot Homer
Homer Hoss
Hoss Hulk
Hulk Hyde
Hyde Hurricane
Hurricane Hammer
Hammer Ice Tea
Ice Tea Ike
Ike Iron Man
Iron Man Jackyl
Jackyl Juggler
Juggler Jack
Jack Java
Java Jaws
Jaws Jayhawk
Jayhawk Jester
Jester Judge
Judge Jedi
Jedi Juggernaut
Juggernaut Kasper
Kasper Kojak
Kojak Krunch
Krunch Kujo
Kujo K9
K9 Kodak
Kodak Lego
Lego Leeroy
Leeroy Legend
Legend Link
Link Lothar
Lothar Lunchbox
Lunchbox Law
Law Lawdog
Lawdog Luigi
Luigi Mario
Mario Magellan
Magellan Magnet
Magnet Mango
Mango Merlin
Merlin Marlin
Marlin Master
Master McFly
McFly Midnight
Midnight Mikey
Mikey Miles
Miles Mongo
Mongo Mongoose
Mongoose Muskrat
